,codigo_do_municipio,ano,proficiencia_media_matematica
0,2601102,2008,164.42857142857142
1,2601102,2009,175.5932584269663
2,2601102,2010,172.53866666666667
3,2601102,2011,188.64871794871794
4,2601102,2012,186.92168674698794
5,2601102,2013,182.08860759493672
6,2601102,2014,184.35000000000002
7,2601102,2015,182.84142857142857
8,2601102,2016,178.92758620689654
9,2601102,2017,189.33529411764707
10,2601102,2018,189.96153846153845
11,2601201,2008,168.8807692307692
12,2601201,2009,177.78076923076924
13,2601201,2010,178.62307692307692
14,2601201,2011,185.06315789473683
15,2601201,2012,191.13125
16,2601201,2013,204.00588235294117
17,2601201,2014,204.49411764705883
18,2601201,2015,208.18235294117648
19,2601201,2016,210.175
20,2601201,2017,222.82142857142858
21,2601201,2018,212.92307692307693
22,2602001,2008,159.03333333333333
23,2602001,2009,166.07659574468087
24,2602001,2010,161.3807692307692
25,2602001,2011,182.07058823529414
26,2602001,2012,180.73333333333335
27,2602001,2013,175.33548387096772
28,2602001,2014,175.9575
29,2602001,2015,184.19268292682926
30,2602001,2016,178.46666666666667
31,2602001,2017,184.02162162162162
32,2602001,2018,192.66875
33,2602803,2008,142.90113636363637
34,2602803,2009,155.63066666666666
35,2602803,2010,165.53384615384616
36,2602803,2011,174.45555555555558
37,2602803,2012,184.36785714285716
38,2602803,2013,173.41500000000002
39,2602803,2014,174.95142857142858
40,2602803,2015,184.44857142857143
41,2602803,2016,177.31714285714287
42,2602803,2017,174.19
43,2602803,2018,190.85384615384615
44,2605103,2008,159.75925925925927
45,2605103,2009,167.98076923076923
46,2605103,2010,169.60454545454547
47,2605103,2011,187.20499999999998
48,2605103,2012,173.55238095238096
49,2605103,2013,184.925
50,2605103,2014,189.65263157894736
51,2605103,2015,186.9421052631579
52,2605103,2016,182.92857142857142
53,2605103,2017,202.70499999999998
54,2605103,2018,229.3684210526316
55,2605301,2008,161.64883720930231
56,2605301,2009,172.80540540540542
57,2605301,2010,175.99166666666667
58,2605301,2011,191.40227272727273
59,2605301,2012,191.48048780487804
60,2605301,2013,182.4206896551724
61,2605301,2014,186.29032258064515
62,2605301,2015,194.2935483870968
63,2605301,2016,198.4787878787879
64,2605301,2017,207.5
65,2605301,2018,206.6
66,2606309,2008,164.98
67,2606309,2009,166.9
68,2606309,2010,159.26
69,2606309,2011,173.78
70,2606309,2012,186.44
71,2606309,2013,192.76
72,2606309,2014,206.0
73,2606309,2015,194.6
74,2606309,2016,195.35
75,2606309,2017,199.8
76,2606309,2018,209.5
77,2606606,2008,153.95625
78,2606606,2009,164.13214285714284
79,2606606,2010,171.52380952380952
80,2606606,2011,190.04736842105262
81,2606606,2012,198.08823529411765
82,2606606,2013,183.0578947368421
83,2606606,2014,190.28823529411764
84,2606606,2015,191.83888888888887
85,2606606,2016,195.425
86,2606606,2017,204.39333333333335
87,2606606,2018,227.32222222222222
88,2607000,2008,164.28947368421052
89,2607000,2009,181.3941176470588
90,2607000,2010,170.3230769230769
91,2607000,2011,199.90769230769232
92,2607000,2012,206.06190476190477
93,2607000,2013,175.61333333333332
94,2607000,2014,178.8470588235294
95,2607000,2015,193.62307692307692
96,2607000,2016,182.33333333333334
97,2607000,2017,194.9272727272727
98,2607000,2018,199.34
99,2607307,2008,171.62222222222223
100,2607307,2009,181.90689655172415
101,2607307,2010,176.39
102,2607307,2011,179.9344827586207
103,2607307,2012,178.29999999999998
104,2607307,2013,184.89545454545453
105,2607307,2014,178.76785714285714
106,2607307,2015,184.204
107,2607307,2016,180.84545454545454
108,2607307,2017,191.5041666666667
109,2607307,2018,202.41666666666666
110,2608057,2008,157.6769230769231
111,2608057,2009,169.9090909090909
112,2608057,2010,162.34166666666667
113,2608057,2011,182.1
114,2608057,2012,177.4846153846154
115,2608057,2013,170.13636363636363
116,2608057,2014,181.23
117,2608057,2015,189.7125
118,2608057,2016,187.1625
119,2608057,2017,206.1
120,2608057,2018,219.45
121,2609154,2008,150.56666666666666
122,2609154,2009,156.94722222222222
123,2609154,2010,156.09130434782608
124,2609154,2011,161.42000000000002
125,2609154,2012,173.5952380952381
126,2609154,2013,169.80344827586208
127,2609154,2014,160.94583333333333
128,2609154,2015,171.94090909090912
129,2609154,2016,175.67142857142858
130,2609154,2017,187.66190476190476
131,2609154,2018,190.8
132,2609907,2008,156.1554347826087
133,2609907,2009,165.93626373626375
134,2609907,2010,168.5951219512195
135,2609907,2011,179.74
136,2609907,2012,181.52592592592592
137,2609907,2013,164.8913043478261
138,2609907,2014,168.0047619047619
139,2609907,2015,172.46875
140,2609907,2016,167.41764705882352
141,2609907,2017,174.22500000000002
142,2609907,2018,177.89090909090908
143,2610400,2008,156.9125
144,2610400,2009,174.75185185185185
145,2610400,2010,176.8047619047619
146,2610400,2011,186.1222222222222
147,2610400,2012,181.3090909090909
148,2610400,2013,166.91111111111113
149,2610400,2014,173.87142857142857
150,2610400,2015,189.1090909090909
151,2610400,2016,174.125
152,2610400,2017,191.5421052631579
153,2610400,2018,198.5666666666667
154,2610806,2008,149.19
155,2610806,2009,158.9904761904762
156,2610806,2010,155.28
157,2610806,2011,170.69333333333333
158,2610806,2012,174.58666666666667
159,2610806,2013,171.8
160,2610806,2014,176.33846153846156
161,2610806,2015,178.59166666666667
162,2610806,2016,174.65
163,2610806,2017,196.90769230769232
164,2610806,2018,199.38571428571427
165,2611002,2008,174.53793103448277
