,Códigos dos Municípios,Nome dos Municípios,Anos,Porcentagem de Docentes com Formação Adequada no Fundamental,Porcentagem de Alunos do Ensino Fundamental em Escolas com Laboratório de Informática,Porcentagem de Alunos do Ensino Fundamental em Escolas com Acesso à Internet
106,2600906,Amaraji (PE),2014,26,82.45,54.46
107,2600906,Amaraji (PE),2015,23,83.53,59.81
108,2600906,Amaraji (PE),2016,23.7,84.56,50.03
109,2600906,Amaraji (PE),2017,21.7,74.74,81.32
110,2600906,Amaraji (PE),2018,NA,NA,NA
111,2601003,Angelim (PE),2008,NA,NA,NA
112,2601003,Angelim (PE),2009,NA,NA,NA
113,2601003,Angelim (PE),2010,NA,NA,NA
114,2601003,Angelim (PE),2011,NA,NA,NA
115,2601003,Angelim (PE),2012,NA,NA,NA
116,2601003,Angelim (PE),2013,21.5,84.47,84.47
117,2601003,Angelim (PE),2014,18.4,88.49,85.24
118,2601003,Angelim (PE),2015,34,90.18,94.23
119,2601003,Angelim (PE),2016,45.7,89.9,95.55
120,2601003,Angelim (PE),2017,39.8,90.2,92.6
121,2601003,Angelim (PE),2018,NA,NA,NA
122,2601052,Araçoiaba (PE),2008,NA,NA,NA
123,2601052,Araçoiaba (PE),2009,NA,NA,NA
124,2601052,Araçoiaba (PE),2010,NA,NA,NA
125,2601052,Araçoiaba (PE),2011,NA,NA,NA
126,2601052,Araçoiaba (PE),2012,NA,NA,NA
127,2601052,Araçoiaba (PE),2013,47.6,58.89,52.87
128,2601052,Araçoiaba (PE),2014,38.4,65.01,89.14
129,2601052,Araçoiaba (PE),2015,48,62.33,85.01
130,2601052,Araçoiaba (PE),2016,54.4,29.17,85.31
131,2601052,Araçoiaba (PE),2017,49.6,25.97,88.72
132,2601052,Araçoiaba (PE),2018,NA,NA,NA
133,2601102,Araripina (PE),2008,NA,NA,NA
134,2601102,Araripina (PE),2009,NA,NA,NA
135,2601102,Araripina (PE),2010,NA,NA,NA
136,2601102,Araripina (PE),2011,NA,NA,NA
137,2601102,Araripina (PE),2012,NA,NA,NA
138,2601102,Araripina (PE),2013,26.2,49.48,55.76
139,2601102,Araripina (PE),2014,31.5,43.35,69.58
140,2601102,Araripina (PE),2015,24.7,43.11,68.74
141,2601102,Araripina (PE),2016,29,44.63,78.57
142,2601102,Araripina (PE),2017,32.8,37.87,69.66
143,2601102,Araripina (PE),2018,NA,NA,NA
144,2601201,Arcoverde (PE),2008,NA,NA,NA
145,2601201,Arcoverde (PE),2009,NA,NA,NA
146,2601201,Arcoverde (PE),2010,NA,NA,NA
147,2601201,Arcoverde (PE),2011,NA,NA,NA
148,2601201,Arcoverde (PE),2012,NA,NA,NA
149,2601201,Arcoverde (PE),2013,29.2,74.34,91.49
150,2601201,Arcoverde (PE),2014,32.1,75.16,92.66
151,2601201,Arcoverde (PE),2015,34,70.33,92.72
152,2601201,Arcoverde (PE),2016,37.6,67.16,94.48
153,2601201,Arcoverde (PE),2017,36.6,49.99,67.8
154,2601201,Arcoverde (PE),2018,NA,NA,NA
155,2601300,Barra de Guabiraba (PE),2008,NA,NA,NA
156,2601300,Barra de Guabiraba (PE),2009,NA,NA,NA
157,2601300,Barra de Guabiraba (PE),2010,NA,NA,NA
158,2601300,Barra de Guabiraba (PE),2011,NA,NA,NA
159,2601300,Barra de Guabiraba (PE),2012,NA,NA,NA
160,2601300,Barra de Guabiraba (PE),2013,48.8,47.22,94.72
161,2601300,Barra de Guabiraba (PE),2014,48.4,44.18,93.46
162,2601300,Barra de Guabiraba (PE),2015,40.1,4.93,94.49
163,2601300,Barra de Guabiraba (PE),2016,34.1,1.19,96.97
164,2601300,Barra de Guabiraba (PE),2017,40.4,0,97.51
165,2601300,Barra de Guabiraba (PE),2018,NA,NA,NA
166,2601409,Barreiros (PE),2008,NA,NA,NA
167,2601409,Barreiros (PE),2009,NA,NA,NA
168,2601409,Barreiros (PE),2010,NA,NA,NA
169,2601409,Barreiros (PE),2011,NA,NA,NA
170,2601409,Barreiros (PE),2012,NA,NA,NA
171,2601409,Barreiros (PE),2013,29.5,58.23,60.12
172,2601409,Barreiros (PE),2014,28.8,56.85,53.99
173,2601409,Barreiros (PE),2015,30.8,54.58,74.97
174,2601409,Barreiros (PE),2016,28.1,53.63,75.24
175,2601409,Barreiros (PE),2017,29.5,46.99,67.96
176,2601409,Barreiros (PE),2018,NA,NA,NA
177,2601508,Belém de Maria (PE),2008,NA,NA,NA
178,2601508,Belém de Maria (PE),2009,NA,NA,NA
179,2601508,Belém de Maria (PE),2010,NA,NA,NA
180,2601508,Belém de Maria (PE),2011,NA,NA,NA
181,2601508,Belém de Maria (PE),2012,NA,NA,NA
182,2601508,Belém de Maria (PE),2013,16.1,85.8,88.69
183,2601508,Belém de Maria (PE),2014,15.2,51.94,86.88
184,2601508,Belém de Maria (PE),2015,10,0,87.51
185,2601508,Belém de Maria (PE),2016,11.9,0,87.36
186,2601508,Belém de Maria (PE),2017,20.8,0,05.01
187,2601508,Belém de Maria (PE),2018,NA,NA,NA
188,2601607,Belém do São Francisco (PE),2008,NA,NA,NA
189,2601607,Belém do São Francisco (PE),2009,NA,NA,NA
190,2601607,Belém do São Francisco (PE),2010,NA,NA,NA
191,2601607,Belém do São Francisco (PE),2011,NA,NA,NA
192,2601607,Belém do São Francisco (PE),2012,NA,NA,NA
193,2601607,Belém do São Francisco (PE),2013,18.3,70.29,71.82
194,2601607,Belém do São Francisco (PE),2014,16.3,69.45,61.44
195,2601607,Belém do São Francisco (PE),2015,20.1,72.26,72.83
196,2601607,Belém do São Francisco (PE),2016,20.2,76.79,75.77
197,2601607,Belém do São Francisco (PE),2017,17.3,73.05,77.69
198,2601607,Belém do São Francisco (PE),2018,NA,NA,NA
199,2601706,Belo Jardim (PE),2008,NA,NA,NA
200,2601706,Belo Jardim (PE),2009,NA,NA,NA
201,2601706,Belo Jardim (PE),2010,NA,NA,NA
202,2601706,Belo Jardim (PE),2011,NA,NA,NA
203,2601706,Belo Jardim (PE),2012,NA,NA,NA
204,2601706,Belo Jardim (PE),2013,24.7,57.17,67.56
205,2601706,Belo Jardim (PE),2014,25.7,57.57,73.1
206,2601706,Belo Jardim (PE),2015,22.3,62,74.46
207,2601706,Belo Jardim (PE),2016,21.7,58.24,80.37
208,2601706,Belo Jardim (PE),2017,23.3,50.64,79.68
209,2601706,Belo Jardim (PE),2018,NA,NA,NA
210,2601805,Betânia (PE),2008,NA,NA,NA
211,2601805,Betânia (PE),2009,NA,NA,NA
212,2601805,Betânia (PE),2010,NA,NA,NA
213,2601805,Betânia (PE),2011,NA,NA,NA
214,2601805,Betânia (PE),2012,NA,NA,NA
215,2601805,Betânia (PE),2013,40.2,93.72,58.28
216,2601805,Betânia (PE),2014,39.6,94.15,63.81
217,2601805,Betânia (PE),2015,35.6,99.17,52.63
218,2601805,Betânia (PE),2016,28.6,99.01,50.81
219,2601805,Betânia (PE),2017,32.3,5.1,74.21
220,2601805,Betânia (PE),2018,NA,NA,NA
221,2601904,Bezerros (PE),2008,NA,NA,NA
222,2601904,Bezerros (PE),2009,NA,NA,NA
223,2601904,Bezerros (PE),2010,NA,NA,NA
