,Códigos dos Municípios
0,2601102
1,2601201
2,2602001
3,2602803
4,2605103
5,2605301
6,2606309
7,2606606
8,2607000
9,2607307
10,2608057
11,2609154
12,2614303
13,2609907
14,2610400
15,2610806
16,2611002
17,2612455
18,2612554
19,2614105
20,2614808
21,2615607
22,2615805
23,2616001
